"","EGFR","IGFR","SOS","Ras","PI3K","AKT","Raf","Mek","Erk"
"1",34.3092563601251,4.68188015749344,70,62,67,56,43,86,89
"2",37.5545475539402,4.68450974539988,70,64,65,59,45,79,91
"3",41.7635359936265,5.8843223235179,70,64,69,57,34,73,86
"4",33.6088729772611,3.11457869432312,70,57,68,58,41,81,88
"5",36.759244730347,5.73217932822813,70,57,68,57,26,73,87
"6",37.3972608531433,5.79054466395619,70,70,64,53,48,82,91
"7",39.1238641878152,5.19485316390164,70,54,70,60,40,83,91
"8",36.2809059274845,5.92117799273055,70,57,65,51,37,78,90
"9",42.9534218099588,6.24145620752342,70,61,71,56,32,78,87
"10",36.583638963641,4.31882919788796,70,64,77,59,37,81,90
"11",38.2529522523777,5.51533046369857,70,58,62,53,45,80,85
"12",39.945258332391,4.5317889149389,70,48,72,52,31,66,83
"13",35.8219139334886,4.49794267796527,70,65,64,63,46,80,86
"14",33.8809930691533,3.02600812535776,70,55,61,48,48,80,89
"15",42.3466868809257,4.43055410555902,70,58,66,51,41,74,88
"16",30.0667927461845,5.47533055287626,70,60,68,53,41,84,78
"17",39.6358137427638,6.21721768877771,70,57,66,59,38,76,93
"18",37.1074201540457,5.11768956789273,70,64,64,59,42,81,87
"19",40.0384860763812,5.08836671441331,70,50,64,61,37,81,88
"20",38.2967954636188,4.79938291948411,70,49,68,61,38,83,91
"21",43.2724576157474,4.50141644332503,70,56,67,56,29,67,88
"22",33.4002225410684,6.08966753937734,70,59,64,59,39,82,87
"23",41.7689146008702,5.92163077876187,70,65,66,64,35,79,87
"24",42.8639549266698,5.36455355777858,70,63,63,59,35,78,91
"25",37.0148133304844,5.29514815471387,70,56,66,57,38,78,96
"26",29.6448808364616,5.5299484181423,70,60,69,58,42,80,91
"27",38.4317119078408,5.96878980255762,70,64,65,53,48,91,90
"28",35.2103254941058,6.90860573678394,70,64,75,67,39,86,92
"29",39.3766098108989,6.50279344771951,70,71,72,58,45,88,91
"30",37.868910130532,4.68817205598771,70,53,76,56,47,83,81
"31",39.2168158112864,5.94801868616014,70,57,73,50,34,87,91
